wall_time,frame_id,f0,intensity_db,rhythm_db_std,rms,voiced_ratio,dF0,dI,dR,role,raw_role,gaze,gaze_ratio_role_window,gaze_threshold,gaze_valid_sec,gaze_engaged_by_role,gaze_role_score,gaze_score_for_fusion,torso_position,feet_pointing,crossed_arms,sleepy_eyes,smile,eyebrow_raise,visual_ok,visual_age,http_status,api_latency,p_t,v_t,r_t,s_t,engagement_raw,engagement
1787650765.192,701,96.03378031124116,39.487174282653775,18.700224051643925,0.018467336988346905,0.08247422680412371,-0.9058869375610601,0.003196599874723205,-0.4229806683308631,speaker,listener,camera,1.0,0.3,5.136329174041748,True,1.0,0.55,towards,not_visible,no,no,no,no,True,0.30542731285095215,200,0.3513805866241455,0.20171234768179075,0.07362585525309777,0.8747422680412371,0.11205180298170567,0.25491270926677745,0.2373307310976491
1787650765.528,711,94.96586899778733,31.761431208729004,17.006797491239993,0.013897281464837605,0.030927835051546393,-0.9170693919204876,-0.7693777075177539,-0.5923233243712562,speaker,listener,camera,1.0,0.3,5.13576865196228,True,1.0,0.55,towards,not_visible,no,no,no,no,True,0.27747035026550293,200,0.3634951114654541,-0.512361464676713,0.07307054716085734,0.859278350515464,-0.10255905639041374,0.2533144718155073,0.24372422738479238
1787650765.864,721,94.9658689977885,33.882410529719735,14.735142761463752,0.007042973306839345,0.030927835051546393,-0.9170693919204751,-0.5572797754186809,-0.8194887973488804,listener,listener,camera,1.0,0.45,0.335801362991333,,0.0,,towards,not_visible,no,yes,no,no,True,0.27327656745910645,200,0.3399951457977295,0.0,-0.07339109198852135,1.0,-0.05137376439196494,0.2541823016515767,0.24790745709150608
1787650766.2,731,nan,0.0,0.0,0.002193164747448589,0.0,0.0,-3.9455208283906544,-2.293003073495256,listener,listener,camera,1.0,0.45,0.6718676090240479,,0.0,,towards,not_visible,no,no,no,no,True,0.26302576065063477,200,0.34531402587890625,0.0,0.04752370838284025,1.0,0.03326659586798817,0.2600648730422325,0.2527704234717967
1787650766.536,740,nan,0.0,0.0,0.0018215195492709444,0.0,0.0,-3.9455208283906544,-2.293003073495256,listener,listener,camera,1.0,0.45,1.0086297988891602,,0.0,,towards,not_visible,no,no,no,no,True,0.23291277885437012,200,0.36687517166137695,0.0,0.04722876360928646,1.0,0.03306013452650052,0.26591637309515576,0.2580288033211403
1787650766.936,752,139.94423602147916,37.39677912918063,18.235930535948878,0.020366675038602153,0.1958762886597938,-0.5293429195147938,-0.20584291547259143,-0.4694100199003678,listener,listener,camera,1.0,0.45,1.4087128639221191,,0.0,,towards,not_visible,no,no,no,no,True,0.27787208557128906,200,0.35512375831604004,-0.1816488845608969,0.04688221178368046,0.9087628865979381,-0.021677117119692745,0.26875267309223744,0.26231835122957914
1787650767.337,764,177.82797133832503,41.15289093569431,18.44310396228744,0.020498435581925,0.26804123711340205,-0.285651769322646,0.17182669433350242,-0.44399857706750795,listener,speaker,camera,1.0,0.45,1.8089497089385986,,0.0,,towards,not_visible,no,yes,no,no,True,0.332564115524292,200,0.3445439338684082,0.01388809388762019,-0.07467245745744729,0.9304123711340206,-0.04810429205392704,0.2698241929719408,0.2653206879265238
1787650767.704,776,173.24051284480606,39.21886845299507,17.31653772986706,0.020600617011367426,0.24742268041237114,-0.3092996729466969,-0.02329382087975702,-0.5522152145388709,listener,speaker,camera,1.0,0.45,2.17657732963562,True,1.0,0.45,towards,not_visible,no,no,no,no,True,0.3268115520477295,200,0.36711597442626953,-0.1953143489537797,0.060252033309688764,0.9242268041237114,-0.016417881369351774,0.27292844958359475,0.26836379258935217
1787650768.055,787,241.43989236224897,40.88895162003664,17.413078204518367,0.01899800753343111,0.27835051546391754,0.025303935213781877,0.14394743403319837,-0.5370390149283516,speaker,speaker,camera,1.0,0.3,0.3505423069000244,,0.0,,towards,not_visible,no,no,no,no,True,0.31711459159851074,200,0.3592386245727539,-0.19441349412356132,0.04593522591486113,0.9335051546391753,-0.026169390096665607,0.2753502829921104,0.27115838875045545
1787650768.392,797,238.35677306409266,52.480861181057755,16.542305892896252,0.028294567766505636,0.5051546391752577,0.012195748632775543,1.3016989157949772,-0.6187458559412793,speaker,speaker,camera,1.0,0.3,0.688004732131958,,0.0,,towards,not_visible,no,no,yes,no,True,0.2964329719543457,200,0.35814404487609863,0.6762094933876022,0.11838294414842351,1.0,0.2857309089201771,0.2940663947947927,0.28032159116819033
1787650768.728,807,232.1934936461867,61.17098113156989,9.924774805638695,0.038420491645870365,0.7216494845360825,-0.014124497240943432,2.157693921688241,-1.274311506107622,speaker,speaker,camera,1.0,0.3,1.023564100265503,,0.0,,towards,not_visible,no,no,yes,no,True,0.27232933044433594,200,0.3596630096435547,0.9686304823064913,0.1181818181818182,1.0,0.37331641741922006,0.3178615690348468,0.2953375823148529
1787650769.064,817,222.4221994723943,61.72091343801399,9.333455907776047,0.041444099704878404,0.7628865979381443,-0.05697790830206345,2.1911102131157683,-1.3207002808328108,speaker,speaker,camera,1.0,0.3,1.3592193126678467,,0.0,,towards,not_visible,no,no,yes,no,True,0.2529332637786865,200,0.35505127906799316,0.98895695614396,0.1181818181818182,1.0,0.37941435957046066,0.3425022338410508,0.3142034429253321
